country,year,unit,value
Afghanistan,2014,1000 persons,33371000.0
Afghanistan,2019,1000 persons,38042000.0
Albania,2014,1000 persons,2896000.0
Albania,2019,1000 persons,2881000.0
Algeria,2014,1000 persons,38924000.0
Algeria,2019,1000 persons,43053000.0
Angola,2014,1000 persons,26942000.0
Angola,2019,1000 persons,31825000.0
Antigua and Barbuda,2014,1000 persons,93000.0
Antigua and Barbuda,2019,1000 persons,97000.0
Argentina,2014,1000 persons,42638000.0
Argentina,2019,1000 persons,44781000.0
Armenia,2014,1000 persons,2912000.0
Armenia,2019,1000 persons,2958000.0
Australia,2014,1000 persons,23596000.0
Australia,2019,1000 persons,25203000.0
Austria,2014,1000 persons,8615000.0
Austria,2019,1000 persons,8955000.0
Azerbaijan,2014,1000 persons,9506000.0
Azerbaijan,2019,1000 persons,10048000.0
Bahamas,2014,1000 persons,371000.0
Bahamas,2019,1000 persons,389000.0
Bangladesh,2014,1000 persons,154517000.0
Bangladesh,2019,1000 persons,163046000.0
Barbados,2014,1000 persons,285000.0
Barbados,2019,1000 persons,287000.0
Belarus,2014,1000 persons,9432000.0
Belarus,2019,1000 persons,9452000.0
Belgium,2014,1000 persons,11221000.0
Belgium,2019,1000 persons,11539000.0
Belize,2014,1000 persons,353000.0
Belize,2019,1000 persons,390000.0
Benin,2014,1000 persons,10287000.0
Benin,2019,1000 persons,11801000.0
Bolivia (Plurinational State of),2014,1000 persons,10707000.0
Bolivia (Plurinational State of),2019,1000 persons,11513000.0
Bosnia and Herzegovina,2014,1000 persons,3482000.0
Bosnia and Herzegovina,2019,1000 persons,3301000.0
Botswana,2014,1000 persons,2089000.0
Botswana,2019,1000 persons,2304000.0
Brazil,2014,1000 persons,202764000.0
Brazil,2019,1000 persons,211050000.0
Bulgaria,2014,1000 persons,7246000.0
Bulgaria,2019,1000 persons,7000000.0
Burkina Faso,2014,1000 persons,17586000.0
Burkina Faso,2019,1000 persons,20321000.0
Burundi,2014,1000 persons,9844300.0
Burundi,2019,1000 persons,11530580.0
Cabo Verde,2014,1000 persons,518000.0
Cabo Verde,2019,1000 persons,550000.0
Cambodia,2014,1000 persons,15275000.0
Cambodia,2019,1000 persons,16487000.0
Cameroon,2014,1000 persons,22682000.0
Cameroon,2019,1000 persons,25876000.0
Canada,2014,1000 persons,35664000.0
Canada,2019,1000 persons,37411000.0
Central African Republic,2014,1000 persons,4464000.0
Central African Republic,2019,1000 persons,4745000.0
Chad,2014,1000 persons,13664000.0
Chad,2019,1000 persons,15947000.0
Chile,2014,1000 persons,17759000.0
Chile,2019,1000 persons,18952000.0
"China, Hong Kong SAR",2014,1000 persons,7135000.0
"China, Hong Kong SAR",2019,1000 persons,7436000.0
"China, Macao SAR",2014,1000 persons,590000.0
"China, Macao SAR",2019,1000 persons,640000.0
"China, mainland",2014,1000 persons,1399454000.0
"China, mainland",2019,1000 persons,1433784000.0
"China, Taiwan Province of",2014,1000 persons,23492000.0
"China, Taiwan Province of",2019,1000 persons,23774000.0
Colombia,2014,1000 persons,46968000.0
Colombia,2019,1000 persons,50339000.0
Comoros,2014,1000 persons,759000.0
Comoros,2019,1000 persons,851000.0
Congo,2014,1000 persons,4737000.0
Congo,2019,1000 persons,5381000.0
Costa Rica,2014,1000 persons,4795000.0
Costa Rica,2019,1000 persons,5048000.0
Côte d'Ivoire,2014,1000 persons,22648000.0
Côte d'Ivoire,2019,1000 persons,25717000.0
Croatia,2014,1000 persons,4256000.0
Croatia,2019,1000 persons,4130000.0
Cuba,2014,1000 persons,11307000.0
Cuba,2019,1000 persons,11333000.0
Cyprus,2014,1000 persons,1152000.0
Cyprus,2019,1000 persons,1199000.0
Czechia,2014,1000 persons,10591000.0
Czechia,2019,1000 persons,10689000.0
Democratic People's Republic of Korea,2014,1000 persons,25058000.0
Democratic People's Republic of Korea,2019,1000 persons,25666000.0
Democratic Republic of the Congo,2014,1000 persons,73767000.0
Democratic Republic of the Congo,2019,1000 persons,86791000.0
Denmark,2014,1000 persons,5664000.0
Denmark,2019,1000 persons,5772000.0
Djibouti,2014,1000 persons,899000.0
Djibouti,2019,1000 persons,974000.0
Dominica,2014,1000 persons,71000.0
Dominica,2019,1000 persons,72000.0
Dominican Republic,2014,1000 persons,10165000.0
Dominican Republic,2019,1000 persons,10739000.0
Ecuador,2014,1000 persons,15952000.0
Ecuador,2019,1000 persons,17374000.0
Egypt,2014,1000 persons,90425000.0
Egypt,2019,1000 persons,100388000.0
El Salvador,2014,1000 persons,6295000.0
El Salvador,2019,1000 persons,6454000.0
Estonia,2014,1000 persons,1316000.0
Estonia,2019,1000 persons,1326000.0
Eswatini,2014,1000 persons,1095000.0
Eswatini,2019,1000 persons,1148000.0
Ethiopia,2014,1000 persons,98094000.0
Ethiopia,2019,1000 persons,112079000.0
Fiji,2014,1000 persons,866000.0
Fiji,2019,1000 persons,890000.0
Finland,2014,1000 persons,5461000.0
Finland,2019,1000 persons,5532000.0
France,2014,1000 persons,66088000.0
France,2019,1000 persons,65130000.0
French Polynesia,2014,1000 persons,272000.0
French Polynesia,2019,1000 persons,279000.0
Gabon,2014,1000 persons,1884000.0
Gabon,2019,1000 persons,2173000.0
Gambia,2014,1000 persons,2024000.0
Gambia,2019,1000 persons,2348000.0
Georgia,2014,1000 persons,4035000.0
Georgia,2019,1000 persons,3997000.0
Germany,2014,1000 persons,81450000.0
Germany,2019,1000 persons,83517000.0
Ghana,2014,1000 persons,27224000.0
Ghana,2019,1000 persons,30418000.0
Greece,2014,1000 persons,10701000.0
Greece,2019,1000 persons,10473000.0
Grenada,2014,1000 persons,109000.0
Grenada,2019,1000 persons,112000.0
Guatemala,2014,1000 persons,15923000.0
Guatemala,2019,1000 persons,17581000.0
Guinea,2014,1000 persons,11151000.0
Guinea,2019,1000 persons,12771000.0
Guinea-Bissau,2014,1000 persons,1692000.0
Guinea-Bissau,2019,1000 persons,1921000.0
Guyana,2014,1000 persons,763000.0
Guyana,2019,1000 persons,783000.0
Haiti,2014,1000 persons,10549000.0
Haiti,2019,1000 persons,11263000.0
Honduras,2014,1000 persons,8956000.0
Honduras,2019,1000 persons,9746000.0
Hungary,2014,1000 persons,9805000.0
Hungary,2019,1000 persons,9685000.0
Iceland,2014,1000 persons,329000.0
Iceland,2019,1000 persons,339000.0
India,2014,1000 persons,1295601000.0
India,2019,1000 persons,1366418000.0
Indonesia,2014,1000 persons,255128000.0
Indonesia,2019,1000 persons,270626000.0
Iran (Islamic Republic of),2014,1000 persons,77466000.0
Iran (Islamic Republic of),2019,1000 persons,82914000.0
Iraq,2014,1000 persons,29516000.0
Iraq,2019,1000 persons,33717000.0
Ireland,2014,1000 persons,4627000.0
Ireland,2019,1000 persons,4882000.0
Israel,2014,1000 persons,7854000.0
Israel,2019,1000 persons,8519000.0
Italy,2014,1000 persons,60410000.0
Italy,2019,1000 persons,60550000.0
Jamaica,2014,1000 persons,2875000.0
Jamaica,2019,1000 persons,2948000.0
Japan,2014,1000 persons,128169000.0
Japan,2019,1000 persons,126860000.0
Jordan,2014,1000 persons,8919000.0
Jordan,2019,1000 persons,10102000.0
Kazakhstan,2014,1000 persons,17303000.0
Kazakhstan,2019,1000 persons,18551000.0
Kenya,2014,1000 persons,46700000.0
Kenya,2019,1000 persons,52574000.0
Kiribati,2014,1000 persons,109000.0
Kiribati,2019,1000 persons,118000.0
Kuwait,2014,1000 persons,3691000.0
Kuwait,2019,1000 persons,4207000.0
Kyrgyzstan,2014,1000 persons,5845000.0
Kyrgyzstan,2019,1000 persons,6416000.0
Lao People's Democratic Republic,2014,1000 persons,6640000.0
Lao People's Democratic Republic,2019,1000 persons,7169000.0
Latvia,2014,1000 persons,2021000.0
Latvia,2019,1000 persons,1907000.0
Lebanon,2014,1000 persons,6261000.0
Lebanon,2019,1000 persons,6856000.0
Lesotho,2014,1000 persons,2043000.0
Lesotho,2019,1000 persons,2125000.0
Liberia,2014,1000 persons,4360000.0
Liberia,2019,1000 persons,4937000.0
Libya,2014,1000 persons,6362000.0
Libya,2019,1000 persons,6777000.0
Lithuania,2014,1000 persons,2971000.0
Lithuania,2019,1000 persons,2760000.0
Luxembourg,2014,1000 persons,555000.0
Luxembourg,2019,1000 persons,616000.0
Madagascar,2014,1000 persons,23590000.0
Madagascar,2019,1000 persons,26969000.0
Malawi,2014,1000 persons,16290000.0
Malawi,2019,1000 persons,18629000.0
Malaysia,2014,1000 persons,29867000.0
Malaysia,2019,1000 persons,31950000.0
Maldives,2014,1000 persons,435000.0
Maldives,2019,1000 persons,531000.0
Mali,2014,1000 persons,16934000.0
Mali,2019,1000 persons,19658000.0
Malta,2014,1000 persons,430000.0
Malta,2019,1000 persons,440000.0
Mauritania,2014,1000 persons,3931000.0
Mauritania,2019,1000 persons,4526000.0
Mauritius,2014,1000 persons,1257000.0
Mauritius,2019,1000 persons,1270000.0
Mexico,2014,1000 persons,120355000.0
Mexico,2019,1000 persons,127576000.0
Mongolia,2014,1000 persons,2940000.0
Mongolia,2019,1000 persons,3225000.0
Montenegro,2014,1000 persons,627000.0
Montenegro,2019,1000 persons,628000.0
Morocco,2014,1000 persons,34192000.0
Morocco,2019,1000 persons,36472000.0
Mozambique,2014,1000 persons,26286000.0
Mozambique,2019,1000 persons,30366000.0
Myanmar,2014,1000 persons,52281000.0
Myanmar,2019,1000 persons,54045000.0
Namibia,2014,1000 persons,2273000.0
Namibia,2019,1000 persons,2495000.0
Nepal,2014,1000 persons,26906000.0
Nepal,2019,1000 persons,28609000.0
Netherlands,2014,1000 persons,16893000.0
Netherlands,2019,1000 persons,17097000.0
New Caledonia,2014,1000 persons,268000.0
New Caledonia,2019,1000 persons,283000.0
New Zealand,2014,1000 persons,4568000.0
New Zealand,2019,1000 persons,4783000.0
Nicaragua,2014,1000 persons,6143000.0
Nicaragua,2019,1000 persons,6546000.0
Niger,2014,1000 persons,19240000.0
Niger,2019,1000 persons,23311000.0
Nigeria,2014,1000 persons,176405000.0
Nigeria,2019,1000 persons,200964000.0
North Macedonia,2014,1000 persons,2078000.0
North Macedonia,2019,1000 persons,2083000.0
Norway,2014,1000 persons,5142000.0
Norway,2019,1000 persons,5379000.0
Oman,2014,1000 persons,4027000.0
Oman,2019,1000 persons,4975000.0
Pakistan,2014,1000 persons,195305000.0
Pakistan,2019,1000 persons,216565000.0
Panama,2014,1000 persons,3901000.0
Panama,2019,1000 persons,4246000.0
Papua New Guinea,2014,1000 persons,7947000.0
Papua New Guinea,2019,1000 persons,8776000.0
Paraguay,2014,1000 persons,6600000.0
Paraguay,2019,1000 persons,7045000.0
Peru,2014,1000 persons,30090000.0
Peru,2019,1000 persons,32510000.0
Philippines,2014,1000 persons,100513000.0
Philippines,2019,1000 persons,108117000.0
Poland,2014,1000 persons,38091000.0
Poland,2019,1000 persons,37888000.0
Portugal,2014,1000 persons,10418000.0
Portugal,2019,1000 persons,10226000.0
Republic of Korea,2014,1000 persons,50608000.0
Republic of Korea,2019,1000 persons,51225000.0
Republic of Moldova,2014,1000 persons,4073000.0
Republic of Moldova,2019,1000 persons,4043000.0
Romania,2014,1000 persons,20036000.0
Romania,2019,1000 persons,19365000.0
Russian Federation,2014,1000 persons,144665000.0
Russian Federation,2019,1000 persons,145872000.0
Rwanda,2014,1000 persons,11084000.0
Rwanda,2019,1000 persons,12627000.0
Saint Kitts and Nevis,2014,1000 persons,51000.0
Saint Kitts and Nevis,2019,1000 persons,53000.0
Saint Lucia,2014,1000 persons,178000.0
Saint Lucia,2019,1000 persons,183000.0
Saint Vincent and the Grenadines,2014,1000 persons,109000.0
Saint Vincent and the Grenadines,2019,1000 persons,111000.0
Samoa,2014,1000 persons,192000.0
Samoa,2019,1000 persons,197000.0
Sao Tome and Principe,2014,1000 persons,196000.0
Sao Tome and Principe,2019,1000 persons,215000.0
Saudi Arabia,2014,1000 persons,30917000.0
Saudi Arabia,2019,1000 persons,34269000.0
Senegal,2014,1000 persons,14175000.0
Senegal,2019,1000 persons,16296000.0
Serbia,2014,1000 persons,8898000.0
Serbia,2019,1000 persons,8772000.0
Seychelles,2014,1000 persons,94000.0
Seychelles,2019,1000 persons,98000.0
Sierra Leone,2014,1000 persons,7017000.0
Sierra Leone,2019,1000 persons,7813000.0
Slovakia,2014,1000 persons,5429000.0
Slovakia,2019,1000 persons,5457000.0
Slovenia,2014,1000 persons,2067000.0
Slovenia,2019,1000 persons,2079000.0
Solomon Islands,2014,1000 persons,587000.0
Solomon Islands,2019,1000 persons,670000.0
South Africa,2014,1000 persons,54544000.0
South Africa,2019,1000 persons,58558000.0
Spain,2014,1000 persons,46778000.0
Spain,2019,1000 persons,46737000.0
Sri Lanka,2014,1000 persons,20789000.0
Sri Lanka,2019,1000 persons,21324000.0
Sudan,2014,1000 persons,37978000.0
Sudan,2019,1000 persons,42813000.0
Suriname,2014,1000 persons,553000.0
Suriname,2019,1000 persons,581000.0
Sweden,2014,1000 persons,9692000.0
Sweden,2019,1000 persons,10036000.0
Switzerland,2014,1000 persons,8206000.0
Switzerland,2019,1000 persons,8591000.0
Syrian Arab Republic,2014,1000 persons,18711000.0
Syrian Arab Republic,2019,1000 persons,17070000.0
Tajikistan,2014,1000 persons,8253000.0
Tajikistan,2019,1000 persons,9321000.0
Thailand,2014,1000 persons,68439000.0
Thailand,2019,1000 persons,69626000.0
Timor-Leste,2014,1000 persons,1174000.0
Timor-Leste,2019,1000 persons,1293000.0
Togo,2014,1000 persons,7138000.0
Togo,2019,1000 persons,8082000.0
Trinidad and Tobago,2014,1000 persons,1362000.0
Trinidad and Tobago,2019,1000 persons,1395000.0
Tunisia,2014,1000 persons,11063000.0
Tunisia,2019,1000 persons,11695000.0
Turkey,2014,1000 persons,77229000.0
Turkey,2019,1000 persons,83430000.0
Turkmenistan,2014,1000 persons,5466000.0
Turkmenistan,2019,1000 persons,5942000.0
Uganda,2014,1000 persons,36912000.0
Uganda,2019,1000 persons,44270000.0
Ukraine,2014,1000 persons,45112000.0
Ukraine,2019,1000 persons,43994000.0
United Arab Emirates,2014,1000 persons,9214170.0
United Arab Emirates,2019,1000 persons,9770530.0
United Kingdom of Great Britain and Northern Ireland,2014,1000 persons,65423000.0
United Kingdom of Great Britain and Northern Ireland,2019,1000 persons,67530000.0
United Republic of Tanzania,2014,1000 persons,49961000.0
United Republic of Tanzania,2019,1000 persons,58005000.0
United States of America,2014,1000 persons,318673000.0
United States of America,2019,1000 persons,329065000.0
Uruguay,2014,1000 persons,3400000.0
Uruguay,2019,1000 persons,3462000.0
Uzbekistan,2014,1000 persons,30426000.0
Uzbekistan,2019,1000 persons,32982000.0
