country,element,item,year,unit,value
Afghanistan,Production,Bovine Meat,2019,1000 tonnes,95000000.0
Afghanistan,Import Quantity,Bovine Meat,2019,1000 tonnes,5000000.0
Afghanistan,Stock Variation,Bovine Meat,2019,1000 tonnes,0.0
Afghanistan,Export Quantity,Bovine Meat,2019,1000 tonnes,0.0
Afghanistan,Domestic supply quantity,Bovine Meat,2019,1000 tonnes,101000000.0
Afghanistan,Residuals,Bovine Meat,2019,1000 tonnes,0.0
Afghanistan,Food,Bovine Meat,2019,1000 tonnes,101000000.0
Afghanistan,Food supply quantity (kg/capita/yr),Bovine Meat,2019,kg,2.65
Afghanistan,Food supply (kcal/capita/day),Bovine Meat,2019,kcal/capita/day,16.0
Afghanistan,Protein supply quantity (g/capita/day),Bovine Meat,2019,g/capita/day,1.1
Afghanistan,Fat supply quantity (g/capita/day),Bovine Meat,2019,g/capita/day,1.21
Afghanistan,Production,Mutton & Goat Meat,2019,1000 tonnes,134000000.0
Afghanistan,Import Quantity,Mutton & Goat Meat,2019,1000 tonnes,0.0
Afghanistan,Stock Variation,Mutton & Goat Meat,2019,1000 tonnes,-2000000.0
Afghanistan,Export Quantity,Mutton & Goat Meat,2019,1000 tonnes,0.0
Afghanistan,Domestic supply quantity,Mutton & Goat Meat,2019,1000 tonnes,136000000.0
Afghanistan,Residuals,Mutton & Goat Meat,2019,1000 tonnes,0.0
Afghanistan,Food,Mutton & Goat Meat,2019,1000 tonnes,136000000.0
Afghanistan,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2019,kg,3.57
Afghanistan,Food supply (kcal/capita/day),Mutton & Goat Meat,2019,kcal/capita/day,22.0
Afghanistan,Protein supply quantity (g/capita/day),Mutton & Goat Meat,2019,g/capita/day,1.4
Afghanistan,Fat supply quantity (g/capita/day),Mutton & Goat Meat,2019,g/capita/day,1.78
Afghanistan,Import Quantity,Pigmeat,2019,1000 tonnes,0.0
Afghanistan,Domestic supply quantity,Pigmeat,2019,1000 tonnes,0.0
Afghanistan,Residuals,Pigmeat,2019,1000 tonnes,0.0
Afghanistan,Food,Pigmeat,2019,1000 tonnes,0.0
Afghanistan,Food supply quantity (kg/capita/yr),Pigmeat,2019,kg,0.01
Afghanistan,Food supply (kcal/capita/day),Pigmeat,2019,kcal/capita/day,0.0
Afghanistan,Protein supply quantity (g/capita/day),Pigmeat,2019,g/capita/day,0.01
Afghanistan,Fat supply quantity (g/capita/day),Pigmeat,2019,g/capita/day,0.02
Afghanistan,Production,Poultry Meat,2019,1000 tonnes,28000000.0
Afghanistan,Import Quantity,Poultry Meat,2019,1000 tonnes,44000000.0
Afghanistan,Stock Variation,Poultry Meat,2019,1000 tonnes,5000000.0
Afghanistan,Domestic supply quantity,Poultry Meat,2019,1000 tonnes,67000000.0
Afghanistan,Residuals,Poultry Meat,2019,1000 tonnes,0.0
Afghanistan,Food,Poultry Meat,2019,1000 tonnes,67000000.0
Afghanistan,Food supply quantity (kg/capita/yr),Poultry Meat,2019,kg,1.76
Afghanistan,Food supply (kcal/capita/day),Poultry Meat,2019,kcal/capita/day,6.0
Afghanistan,Protein supply quantity (g/capita/day),Poultry Meat,2019,g/capita/day,0.63
Afghanistan,Fat supply quantity (g/capita/day),Poultry Meat,2019,g/capita/day,0.38
Afghanistan,Production,"Meat, Other",2019,1000 tonnes,12000000.0
Afghanistan,Import Quantity,"Meat, Other",2019,1000 tonnes,0.0
Afghanistan,Stock Variation,"Meat, Other",2019,1000 tonnes,0.0
Afghanistan,Domestic supply quantity,"Meat, Other",2019,1000 tonnes,12000000.0
Afghanistan,Residuals,"Meat, Other",2019,1000 tonnes,0.0
Afghanistan,Food,"Meat, Other",2019,1000 tonnes,12000000.0
Afghanistan,Food supply quantity (kg/capita/yr),"Meat, Other",2019,kg,0.31
Afghanistan,Food supply (kcal/capita/day),"Meat, Other",2019,kcal/capita/day,1.0
Afghanistan,Protein supply quantity (g/capita/day),"Meat, Other",2019,g/capita/day,0.14
Afghanistan,Fat supply quantity (g/capita/day),"Meat, Other",2019,g/capita/day,0.05
Afghanistan,Production,"Offals, Edible",2019,1000 tonnes,44000000.0
Afghanistan,Import Quantity,"Offals, Edible",2019,1000 tonnes,3000000.0
Afghanistan,Export Quantity,"Offals, Edible",2019,1000 tonnes,0.0
Afghanistan,Domestic supply quantity,"Offals, Edible",2019,1000 tonnes,48000000.0
Afghanistan,Losses,"Offals, Edible",2019,1000 tonnes,3000000.0
Afghanistan,Residuals,"Offals, Edible",2019,1000 tonnes,0.0
Afghanistan,Food,"Offals, Edible",2019,1000 tonnes,44000000.0
Afghanistan,Food supply quantity (kg/capita/yr),"Offals, Edible",2019,kg,1.16
Afghanistan,Food supply (kcal/capita/day),"Offals, Edible",2019,kcal/capita/day,4.0
Afghanistan,Protein supply quantity (g/capita/day),"Offals, Edible",2019,g/capita/day,0.52
Afghanistan,Fat supply quantity (g/capita/day),"Offals, Edible",2019,g/capita/day,0.14
Afghanistan,Production,"Butter, Ghee",2019,1000 tonnes,40000000.0
Afghanistan,Import Quantity,"Butter, Ghee",2019,1000 tonnes,0.0
Afghanistan,Export Quantity,"Butter, Ghee",2019,1000 tonnes,0.0
Afghanistan,Domestic supply quantity,"Butter, Ghee",2019,1000 tonnes,40000000.0
Afghanistan,Feed,"Butter, Ghee",2019,1000 tonnes,0.0
Afghanistan,Residuals,"Butter, Ghee",2019,1000 tonnes,0.0
Afghanistan,Food,"Butter, Ghee",2019,1000 tonnes,40000000.0
Afghanistan,Food supply quantity (kg/capita/yr),"Butter, Ghee",2019,kg,1.06
Afghanistan,Food supply (kcal/capita/day),"Butter, Ghee",2019,kcal/capita/day,23.0
