country,population_2014,population_2019,item,element,unit,food_supply_gprot_capita_2014,food_supply_gprot_capita_2019
Afghanistan,33371.0,38042.0,Apples and products,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.03,0.04
Afghanistan,33371.0,38042.0,Bananas,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.04,0.06
Afghanistan,33371.0,38042.0,Barley and products,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.36,0.09
Afghanistan,33371.0,38042.0,Beer,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.0
Afghanistan,33371.0,38042.0,"Beverages, Alcoholic",Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.0
Afghanistan,33371.0,38042.0,"Beverages, Fermented",Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.0
Afghanistan,33371.0,38042.0,Bovine Meat,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,2.01,1.1
Afghanistan,33371.0,38042.0,"Butter, Ghee",Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.03,0.03
Afghanistan,33371.0,38042.0,Cassava and products,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.0
Afghanistan,33371.0,38042.0,"Cereals, Other",Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.02
Afghanistan,33371.0,38042.0,"Citrus, Other",Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.03,0.02
Afghanistan,33371.0,38042.0,Cloves,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.0
Afghanistan,33371.0,38042.0,Cocoa Beans and products,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.01,0.01
Afghanistan,33371.0,38042.0,Coconut Oil,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.0
Afghanistan,33371.0,38042.0,Coconuts - Incl Copra,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.01
Afghanistan,33371.0,38042.0,Coffee and products,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.0
Afghanistan,33371.0,38042.0,Cottonseed Oil,Protein supply quantity (g/capita/day)Protein supply quantity (g/capita/day),g/capita/dayg/capita/day,0.0,0.0
