country,population_2014,population_2019,item,element,unit,food_supply_kcal_capita_2014,food_supply_kcal_capita_2019,food_supply_kcal_2014,food_supply_kcal_2019
Afghanistan,33371.0,38042.0,Apples and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,5.0,6.0,60902075000.0,83311980000.0
Afghanistan,33371.0,38042.0,Bananas,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,3.0,5.0,36541245000.0,69426650000.0
Afghanistan,33371.0,38042.0,Barley and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,12.0,3.0,146164980000.0,41655990000.0
Afghanistan,33371.0,38042.0,Beer,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,"Beverages, Alcoholic",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,"Beverages, Fermented",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Bovine Meat,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,29.0,16.0,353232035000.0,222165280000.0
Afghanistan,33371.0,38042.0,"Butter, Ghee",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,28.0,23.0,341051620000.0,319362590000.0
Afghanistan,33371.0,38042.0,Cassava and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,"Cereals, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,1.0,0.0,13885330000.0
Afghanistan,33371.0,38042.0,"Citrus, Other",Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,2.0,1.0,24360830000.0,13885330000.0
Afghanistan,33371.0,38042.0,Cloves,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Cocoa Beans and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,1.0,1.0,12180415000.0,13885330000.0
Afghanistan,33371.0,38042.0,Coconut Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Coconuts - Incl Copra,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,1.0,0.0,13885330000.0
Afghanistan,33371.0,38042.0,Coffee and products,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
Afghanistan,33371.0,38042.0,Cottonseed Oil,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,3.0,2.0,36541245000.0,27770660000.0
Afghanistan,33371.0,38042.0,Cream,Food supply (kcal/capita/day)Food supply (kcal/capita/day),kcal/capita/daykcal/capita/day,0.0,0.0,0.0,0.0
