country,item,element,unit,food_2014,food_2019
Afghanistan,Apples and products,FoodFood,1000 tonnes1000 tonnes,114000000.0,166000000.0
Afghanistan,Bananas,FoodFood,1000 tonnes1000 tonnes,64000000.0,118000000.0
Afghanistan,Barley and products,FoodFood,1000 tonnes1000 tonnes,44000000.0,13000000.0
Afghanistan,Beans,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Beer,FoodFood,1000 tonnes1000 tonnes,1000000.0,1000000.0
Afghanistan,"Beverages, Alcoholic",FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,"Beverages, Fermented",FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Bovine Meat,FoodFood,1000 tonnes1000 tonnes,160000000.0,101000000.0
Afghanistan,"Butter, Ghee",FoodFood,1000 tonnes1000 tonnes,43000000.0,40000000.0
Afghanistan,Cassava and products,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,"Cereals, Other",FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,"Citrus, Other",FoodFood,1000 tonnes1000 tonnes,73000000.0,63000000.0
Afghanistan,Cloves,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Cocoa Beans and products,FoodFood,1000 tonnes1000 tonnes,1000000.0,0.0
Afghanistan,Coconut Oil,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Coconuts - Incl Copra,FoodFood,1000 tonnes1000 tonnes,0.0,5000000.0
Afghanistan,Coffee and products,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Cottonseed Oil,FoodFood,1000 tonnes1000 tonnes,4000000.0,4000000.0
Afghanistan,Cream,FoodFood,1000 tonnes1000 tonnes,2000000.0,0.0
Afghanistan,Dates,FoodFood,1000 tonnes1000 tonnes,18000000.0,18000000.0
Afghanistan,Eggs,FoodFood,1000 tonnes1000 tonnes,56000000.0,31000000.0
Afghanistan,"Fats, Animals, Raw",FoodFood,1000 tonnes1000 tonnes,10000000.0,9000000.0
Afghanistan,Freshwater Fish,FoodFood,1000 tonnes1000 tonnes,6360000.0,9000000.0
Afghanistan,"Fruits, other",FoodFood,1000 tonnes1000 tonnes,231000000.0,252000000.0
Afghanistan,Grapefruit and products,FoodFood,1000 tonnes1000 tonnes,1000000.0,0.0
Afghanistan,Grapes and products (excl wine),FoodFood,1000 tonnes1000 tonnes,544000000.0,744000000.0
Afghanistan,Groundnut Oil,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Groundnuts,FoodFood,1000 tonnes1000 tonnes,1000000.0,39000000.0
Afghanistan,Honey,FoodFood,1000 tonnes1000 tonnes,2000000.0,1000000.0
Afghanistan,Infant food,FoodFood,1000 tonnes1000 tonnes,2000000.0,2000000.0
Afghanistan,"Lemons, Limes and products",FoodFood,1000 tonnes1000 tonnes,1000000.0,1000000.0
Afghanistan,Maize Germ Oil,FoodFood,1000 tonnes1000 tonnes,1000000.0,2000000.0
Afghanistan,Maize and products,FoodFood,1000 tonnes1000 tonnes,89000000.0,146000000.0
Afghanistan,"Meat, Other",FoodFood,1000 tonnes1000 tonnes,12000000.0,12000000.0
Afghanistan,Milk - Excluding Butter,FoodFood,1000 tonnes1000 tonnes,1521000000.0,1447000000.0
Afghanistan,Millet and products,FoodFood,1000 tonnes1000 tonnes,4000000.0,6000000.0
Afghanistan,Miscellaneous,FoodFood,1000 tonnes1000 tonnes,21000000.0,23000000.0
Afghanistan,Mutton & Goat Meat,FoodFood,1000 tonnes1000 tonnes,166000000.0,136000000.0
Afghanistan,Nuts and products,FoodFood,1000 tonnes1000 tonnes,30000000.0,55000000.0
Afghanistan,Oats,FoodFood,1000 tonnes1000 tonnes,0.0,4000000.0
Afghanistan,"Offals, Edible",FoodFood,1000 tonnes1000 tonnes,53000000.0,44000000.0
Afghanistan,"Oilcrops Oil, Other",FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,"Oilcrops, Other",Food,1000 tonnes,0.0,0.0
Afghanistan,Olive Oil,FoodFood,1000 tonnes1000 tonnes,1000000.0,1000000.0
Afghanistan,Olives (including preserved),FoodFood,1000 tonnes1000 tonnes,3000000.0,3000000.0
Afghanistan,Onions,FoodFood,1000 tonnes1000 tonnes,190000000.0,204000000.0
Afghanistan,"Oranges, Mandarines",FoodFood,1000 tonnes1000 tonnes,128000000.0,137000000.0
Afghanistan,Palm Oil,FoodFood,1000 tonnes1000 tonnes,140000000.0,170000000.0
Afghanistan,Palmkernel Oil,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Peas,FoodFood,1000 tonnes1000 tonnes,2000000.0,25000000.0
Afghanistan,Pepper,FoodFood,1000 tonnes1000 tonnes,0.0,1000000.0
Afghanistan,Pigmeat,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Pimento,Food,1000 tonnes,0.0,0.0
Afghanistan,Pineapples and products,FoodFood,1000 tonnes1000 tonnes,6000000.0,1000000.0
Afghanistan,Plantains,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Potatoes and products,FoodFood,1000 tonnes1000 tonnes,440000000.0,978000000.0
Afghanistan,Poultry Meat,FoodFood,1000 tonnes1000 tonnes,69000000.0,67000000.0
Afghanistan,"Pulses, Other and products",FoodFood,1000 tonnes1000 tonnes,82000000.0,77000000.0
Afghanistan,Rape and Mustard Oil,FoodFood,1000 tonnes1000 tonnes,1000000.0,2000000.0
Afghanistan,Rape and Mustardseed,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Rice and products,FoodFood,1000 tonnes1000 tonnes,643000000.0,577000000.0
Afghanistan,Ricebran Oil,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,"Roots, Other",FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Rye and products,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Sesame seed,FoodFood,1000 tonnes1000 tonnes,15000000.0,17000000.0
Afghanistan,Sesameseed Oil,FoodFood,1000 tonnes1000 tonnes,1000000.0,1000000.0
Afghanistan,Sorghum and products,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Soyabean Oil,FoodFood,1000 tonnes1000 tonnes,13000000.0,11000000.0
Afghanistan,Soyabeans,FoodFood,1000 tonnes1000 tonnes,0.0,2000000.0
Afghanistan,"Spices, Other",FoodFood,1000 tonnes1000 tonnes,1000000.0,10000000.0
Afghanistan,Sugar (Raw Equivalent),FoodFood,1000 tonnes1000 tonnes,513000000.0,650000000.0
Afghanistan,Sugar cane,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,Sunflowerseed Oil,FoodFood,1000 tonnes1000 tonnes,40000000.0,56000000.0
Afghanistan,Sweet potatoes,FoodFood,1000 tonnes1000 tonnes,0.0,0.0
Afghanistan,"Sweeteners, Other",FoodFood,1000 tonnes1000 tonnes,56000000.0,21000000.0
Afghanistan,Tea (including mate),FoodFood,1000 tonnes1000 tonnes,102000000.0,25000000.0
Afghanistan,Tomatoes and products,FoodFood,1000 tonnes1000 tonnes,179000000.0,0.0
Afghanistan,"Vegetables, other",FoodFood,1000 tonnes1000 tonnes,1261000000.0,2076000000.0
